bloc,traitement,engrais,fleur1,fruit1,fleur2,fruit2,fleur3,fruit3,taux_fruit,nfruits_re_m2,taux_nou_5,taux_nou_6,taux_nou_7,rdt_kgha,rdt_tha
1,T0,Temoin,26.67,0.67,25,1,24,14,52.5,2,300,200,14.29,233,0.23
1,T1,Fumier porcs,74.5,13.5,77.33,24,60.8,40.8,54.77,6.4,47.41,26.67,15.69,902.4,0.9
1,T2,Fumier poulets,76,6.86,70.29,12.57,75.33,24.67,32.46,6,87.5,47.73,24.32,1694.67,1.69
1,T3,Engrais mineral,52.8,10.4,58.67,21.33,36,28,53.03,6.67,64.1,31.25,23.81,732,0.73
1,T4,50% FPorcs + 50% Eng. Min.,64.57,8.57,72,23,55,28,43.36,7,81.67,30.43,25,911,0.91
1,T5,50% FPoulets + 50% Eng. Min.,69.71,8.57,83.2,18.4,64,20.8,29.84,5.6,65.33,30.43,26.92,1089.6,1.09
2,T0,Temoin,55.5,3.5,56,11.2,45.6,16.8,30.27,4,114.29,35.71,23.81,628,0.63
2,T1,Fumier porcs,54.67,7.33,67,17,48,26,47.56,4,54.55,23.53,15.38,580,0.58
2,T2,Fumier poulets,62,5,60,11.33,74,21.33,34.41,4.67,93.33,41.18,21.88,844.67,0.84
2,T3,Engrais mineral,41.14,4,45.6,14.4,72,17.6,42.78,1.6,40,11.11,9.09,256.8,0.26
2,T4,50% FPorcs + 50% Eng. Min.,89,18.5,83.5,24,69.5,27,30.34,7,37.84,29.17,25.93,1218,1.22
2,T5,50% FPoulets + 50% Eng. Min.,81.71,13.71,72.57,22.86,60,26.86,32.87,6.29,45.83,27.5,23.4,1573.71,1.57
3,T0,Temoin,45.33,8,49.6,14.4,45.6,17.6,38.82,7.2,90,50,40.91,1148.8,1.15
3,T1,Fumier porcs,63,9,54.86,13.71,57.14,15.43,24.49,5.71,63.49,41.67,37.04,972.57,0.97
3,T2,Fumier poulets,44.8,7.2,45.6,8,36.8,11.2,25,5.6,77.78,70,50,780,0.78
3,T3,Engrais mineral,82.86,10.29,89.6,23.2,99,22,26.55,5,48.61,21.55,22.73,1061,1.06
3,T4,50% FPorcs + 50% Eng. Min.,49.33,2,45.33,10.67,32,12,24.32,4,200,37.5,33.33,1209.33,1.21
3,T5,50% FPoulets + 50% Eng. Min.,136.57,25.71,157.6,43.2,100.8,48,35.15,16.8,65.33,38.89,35,3061.6,3.06
4,T0,Temoin,38,2.67,34.67,6,39.33,12.67,33.33,2,75,33.33,15.79,279.33,0.28
4,T1,Fumier porcs,79,8,74,13,46,24.5,31.01,3.5,43.75,26.92,14.29,640.5,0.64
4,T2,Fumier poulets,53.5,7.5,50.29,14.86,48.57,21.71,40.59,5.14,68.57,34.62,23.68,881.14,0.88
4,T3,Engrais mineral,64.57,7.43,60,15,49,21,32.52,5,67.31,33.33,23.81,866,0.87
4,T4,50% FPorcs + 50% Eng. Min.,80,5.33,74.67,10.67,97.33,22.67,28.33,3.33,62.5,31.25,14.71,989.33,0.99
4,T5,50% FPoulets + 50% Eng. Min.,66.5,8.5,93,21,63,36,54.14,5,58.82,23.81,13.89,1112,1.11
5,T0,Temoin,70.86,16,67.43,19.43,83.33,22,31.05,7.33,45.83,37.75,33.33,1074.67,1.07
5,T1,Fumier porcs,61.14,10.86,58.29,14.86,38.67,12,19.63,2.67,24.56,17.95,22.22,479.33,0.48
5,T2,Fumier poulets,70.86,12,68,14.86,64,18.86,26.61,7.43,61.9,50,39.39,1504.57,1.5
5,T3,Engrais mineral,73.14,4,65,13,61,19,25.98,6,150,46.15,31.58,789,0.79
5,T4,50% FPorcs + 50% Eng. Min.,85.5,10,81.14,18.86,64,28,32.75,2.29,22.86,12.12,8.16,411.43,0.41
5,T5,50% FPoulets + 50% Eng. Min.,64.57,12.57,72.8,24.8,56,24,37.17,10.4,82.73,41.94,43.33,1283.2,1.28
