temps,engrais,N,diametre,sd,se,ci
21 JAR,Temoin,5,4.294,0.9544789154297751,0.42685594759825,1.185142106333727
21 JAR,Fumier porcs,5,4.736,0.7764212774003558,0.34722615108888333,0.9640543475873996
21 JAR,Fumier poulets,5,4.374,0.6398671737165456,0.2861572994001725,0.7945000332362283
21 JAR,Engrais mineral,5,4.724,0.3169858040985432,0.1417603611733548,0.39358986089083225
21 JAR,50% FPorcs + 50% Eng. Min.,5,4.822,0.3739919785236042,0.16725429740368408,0.4643723753497547
21 JAR,50% FPoulets + 50% Eng. Min.,5,4.896,0.8973460870812332,0.40130537001141664,1.114202330257787
35 JAR,Temoin,5,5.0440000000000005,0.8072050544935905,0.36099307472581804,1.0022774553327989
35 JAR,Fumier porcs,5,5.982,0.7850286618971308,0.3510754904575367,0.9747418270357424
35 JAR,Fumier poulets,5,5.508,0.6707980321974715,0.29998999983332775,0.8329057666455297
35 JAR,Engrais mineral,5,6.072,0.34902721956890426,0.15608971779076294,0.43337453293186873
35 JAR,50% FPorcs + 50% Eng. Min.,5,6.284,0.6590371764931021,0.2947303852676205,0.8183027355293448
35 JAR,50% FPoulets + 50% Eng. Min.,5,6.23,0.4166533331199932,0.18633303518163385,0.5173434434666956
42 JAR,Temoin,5,5.5040000000000004,0.9466150220654644,0.42333910757216836,1.1753777930575489
42 JAR,Fumier porcs,5,6.286,0.7124113979997794,0.3186000627746329,0.8845755848063391
42 JAR,Fumier poulets,5,6.046,0.8854546854582677,0.39598737353607616,1.0994372049743688
42 JAR,Engrais mineral,5,6.782,0.5804911713368259,0.25960354388952406,0.7207749887240696
42 JAR,50% FPorcs + 50% Eng. Min.,5,6.992,0.5618451744030556,0.2512648005590914,0.6976229256207891
42 JAR,50% FPoulets + 50% Eng. Min.,5,7.028,0.3020264889045329,0.1350703520392243,0.3750154177766471
49 JAR,Temoin,5,5.602,0.7192843665755567,0.3216737477631645,0.8931095024476677
49 JAR,Fumier porcs,5,6.728,0.7630334199758224,0.34123891923401695,0.9474311270102715
49 JAR,Fumier poulets,5,6.504,0.7214429984413183,0.3226391172812125,0.8957897979207592
49 JAR,Engrais mineral,5,7.14,0.8852118390532289,0.39587876932212457,1.099135671336139
49 JAR,50% FPorcs + 50% Eng. Min.,5,7.374,0.5605622177778308,0.25069104491385413,0.6960299245679905
49 JAR,50% FPoulets + 50% Eng. Min.,5,7.668,0.39820848810641885,0.1780842497246738,0.494441143460892
