temps,engrais,N,fleur,sd,se,ci
52 JAR,Temoin,5,47.272,16.869184034801446,7.544128445354042,20.945858495086668
52 JAR,Fumier porcs,5,66.462,10.014630297719432,4.478678823045921,12.434805895998862
52 JAR,Fumier poulets,5,61.432,12.658756653005065,5.661168077349409,15.717922398058768
52 JAR,Engrais mineral,5,62.902,16.443506925227354,7.3537598546593825,20.41731055326908
52 JAR,50% FPorcs + 50% Eng. Min.,5,73.67999999999999,16.509632037086714,7.383331903686844,20.49941572404204
52 JAR,50% FPoulets + 50% Eng. Min.,5,83.812,30.235125599209933,13.521559229615495,37.54186693770799
59 JAR,Temoin,5,46.54,16.882800419361715,7.55021787765095,20.96276546958085
59 JAR,Fumier porcs,5,66.29599999999999,9.701475660949729,4.338631811988659,12.045973057651345
59 JAR,Fumier poulets,5,58.836,10.77907370788418,4.820548309061947,13.383987757064544
59 JAR,Engrais mineral,5,63.774,16.117331665012046,7.2078898437753605,20.012310475554987
59 JAR,50% FPorcs + 50% Eng. Min.,5,71.328,15.263923807461829,6.826234247372412,18.952664663050676
59 JAR,50% FPoulets + 50% Eng. Min.,5,95.834,35.547387808388955,15.897275112420994,44.13791167186397
66 JAR,Temoin,5,47.572,21.851669730251736,9.772363787743474,27.13243160469254
66 JAR,Fumier porcs,5,50.122,8.886985990761996,3.974380958086428,11.03465055727038
66 JAR,Fumier poulets,5,59.74,16.699968562844663,7.468452985726027,20.735749735618874
66 JAR,Engrais mineral,5,63.4,24.006249186409775,10.735921013122255,29.80769534667342
66 JAR,50% FPorcs + 50% Eng. Min.,5,63.566,23.691755528031265,10.595275173396866,29.41719989340143
66 JAR,50% FPoulets + 50% Eng. Min.,5,68.76,18.179328920507487,8.130043050316521,22.572618232098645
