temps,engrais,N,fruit,sd,se,ci
52 JAR,Temoin,5,6.168,6.115690476144129,2.735019926801266,7.593632688385802
52 JAR,Fumier porcs,5,9.738,2.488738636337693,1.1129977538162419,3.0901771656792434
52 JAR,Fumier poulets,5,7.712,2.5872224488821987,1.1570410537228142,3.2124609701216045
52 JAR,Engrais mineral,5,7.224,3.174827554372048,1.4198260456830616,3.942069074769075
52 JAR,50% FPorcs + 50% Eng. Min.,5,8.88,6.201447411693499,2.7733715942873576,7.700113987853735
52 JAR,50% FPoulets + 50% Eng. Min.,5,13.812000000000001,7.0500226949989315,3.1528659977867752,8.753759366899649
59 JAR,Temoin,5,10.406,7.174620547457545,3.208587851376365,8.908468034551014
59 JAR,Fumier porcs,5,16.514,4.450357289027478,1.9902602844854238,5.525848424929123
59 JAR,Fumier poulets,5,12.324,2.8551760015802876,1.276873525451914,3.5451692496976164
59 JAR,Engrais mineral,5,17.386,4.560809138738432,2.039655853324281,5.662992510250228
59 JAR,50% FPorcs + 50% Eng. Min.,5,17.44,6.4735886492732915,2.895076855629225,8.03802196498318
59 JAR,50% FPoulets + 50% Eng. Min.,5,26.052,9.872766582878379,4.415235441060873,12.258658828629281
66 JAR,Temoin,5,16.614,3.619527593485095,1.6187019490937793,4.494237103335552
66 JAR,Fumier porcs,5,23.746,11.220654169877974,5.018029095172724,13.932282319032423
66 JAR,Fumier poulets,5,19.554,5.105069049484053,2.283056284895316,6.338780447088659
66 JAR,Engrais mineral,5,21.52,4.006494727314638,1.7917589123540028,4.974720261899793
66 JAR,50% FPorcs + 50% Eng. Min.,5,23.534,6.813279680154045,3.0469913029084936,8.459804088540535
66 JAR,50% FPoulets + 50% Eng. Min.,5,31.132,11.001050858895253,4.919819508884446,13.659608793898832
