id,bloc,traitement,engrais,fruit1,fruit2,fruit3
1,1,T0,Temoin,0.67,1,14
2,1,T1,Fumier porcs,13.5,24,40.8
3,1,T2,Fumier poulets,6.86,12.57,24.67
4,1,T3,Engrais mineral,10.4,21.33,28
5,1,T4,50% FPorcs + 50% Eng. Min.,8.57,23,28
6,1,T5,50% FPoulets + 50% Eng. Min.,8.57,18.4,20.8
7,2,T0,Temoin,3.5,11.2,16.8
8,2,T1,Fumier porcs,7.33,17,26
9,2,T2,Fumier poulets,5,11.33,21.33
10,2,T3,Engrais mineral,4,14.4,17.6
11,2,T4,50% FPorcs + 50% Eng. Min.,18.5,24,27
12,2,T5,50% FPoulets + 50% Eng. Min.,13.71,22.86,26.86
13,3,T0,Temoin,8,14.4,17.6
14,3,T1,Fumier porcs,9,13.71,15.43
15,3,T2,Fumier poulets,7.2,8,11.2
16,3,T3,Engrais mineral,10.29,23.2,22
17,3,T4,50% FPorcs + 50% Eng. Min.,2,10.67,12
18,3,T5,50% FPoulets + 50% Eng. Min.,25.71,43.2,48
19,4,T0,Temoin,2.67,6,12.67
20,4,T1,Fumier porcs,8,13,24.5
21,4,T2,Fumier poulets,7.5,14.86,21.71
22,4,T3,Engrais mineral,7.43,15,21
23,4,T4,50% FPorcs + 50% Eng. Min.,5.33,10.67,22.67
24,4,T5,50% FPoulets + 50% Eng. Min.,8.5,21,36
25,5,T0,Temoin,16,19.43,22
26,5,T1,Fumier porcs,10.86,14.86,12
27,5,T2,Fumier poulets,12,14.86,18.86
28,5,T3,Engrais mineral,4,13,19
29,5,T4,50% FPorcs + 50% Eng. Min.,10,18.86,28
30,5,T5,50% FPoulets + 50% Eng. Min.,12.57,24.8,24
